osmid,x,y
906539320,77.3071349,28.6215807
906539321,77.3168104,28.6189144
906539322,77.3058957,28.6226602
906539325,77.3084874,28.6226127
906539334,77.3095836,28.6223512
906539336,77.31786,28.6167986
906539338,77.3186749,28.6197044
906539340,77.3173754,28.6190814
906539343,77.3177617,28.6191955
906539354,77.3163716,28.6214098
906539358,77.3167673,28.6242115
906539360,77.3165587,28.618843
906539375,77.3165712,28.620196
906539378,77.3158613,28.6211015
906539381,77.3161491,28.621633
906539383,77.3183225,28.6228804
906539385,77.3186462,28.6200122
906539389,77.30513,28.6222819
906539398,77.3158111,28.6186191
906539405,77.3150424,28.6201748
906539407,77.3041118,28.6223025
906539408,77.3204496,28.6170735
906539411,77.3167302,28.6218612
906539413,77.3111758,28.6214195
906539414,77.319342,28.6202151
906539417,77.3165403,28.6255141
906539419,77.3177796,28.6185492
906539425,77.3170313,28.6225101
906539428,77.3060384,28.6212007
906539444,77.30969,28.622313
906539445,77.3187359,28.6167143
906539446,77.3181063,28.6202123
906539447,77.3173717,28.6253861
906539448,77.3171109,28.6260792
906539463,77.3062707,28.6225895
906539470,77.3185352,28.6172114
906539475,77.3067833,28.6210481
906539484,77.3098066,28.622622
906539485,77.316663,28.6220348
906539500,77.3170231,28.6192057
906539501,77.3193827,28.6184647
906539504,77.3161666,28.6233177
906539506,77.3197541,28.6191378
906539507,77.3101347,28.6216978
906539523,77.3187731,28.6200492
906539534,77.3188647,28.6214629
906539539,77.3065037,28.6210592
906539560,77.3191786,28.6185944
906539562,77.3194473,28.6199401
906539567,77.3170232,28.6235443
906539575,77.3188862,28.6181429
906539596,77.3174431,28.6200191
906539602,77.314073,28.6201572
906539627,77.3173816,28.6179525
906539635,77.3177766,28.6243096
906539640,77.3200094,28.6184704
906539641,77.3181321,28.6222782
906539663,77.3159375,28.6253406
906539665,77.3180247,28.6215994
906539672,77.314229,28.6218957
906539693,77.3175545,28.6170715
906539696,77.3181801,28.6175252
906539699,77.3160284,28.6186833
906539704,77.3065146,28.6225617
906539716,77.3103346,28.6220654
906539719,77.3161079,28.6217419
906539722,77.3166021,28.6221922
906539727,77.3172071,28.6206289
906539742,77.3172026,28.6227477
906539745,77.3129293,28.6223812
906539746,77.3170214,28.6211087
906539749,77.307341,28.6224427
906539754,77.3141991,28.6206982
906539765,77.3096366,28.6230572
906539768,77.3182589,28.6230466
906539779,77.3181128,28.6234286
906539789,77.3192191,28.6205365
906539796,77.3032217,28.6221964
906539810,77.3070864,28.6233571
906539818,77.3171253,28.6239334
906539821,77.3198226,28.6189587
906539827,77.3108257,28.6213898
906539842,77.3175975,28.6184956
906539866,77.3166839,28.6211237
906539870,77.3181673,28.6200491
906539872,77.3139677,28.6225172
906539881,77.3168928,28.6214411
906539892,77.3176175,28.6195452
906539893,77.3156281,28.6247092
906539898,77.3171828,28.6190245
906539906,77.3095489,28.6219881
906539909,77.316971,28.6193353
906539919,77.3155062,28.6250242
906539931,77.3186017,28.6184262
906539933,77.3158196,28.6201842
906539935,77.315378,28.6253554
906539945,77.3098755,28.6237737
906539950,77.3174944,28.6250597
906539961,77.3189472,28.6179874
906539965,77.3187982,28.6165483
906539992,77.3164799,28.6256678
906539995,77.3176189,28.6179023
906540005,77.3176086,28.6211035
906540013,77.3079637,28.622862
906540029,77.3169448,28.6178362
906540030,77.3186035,28.6170422
906540031,77.3070676,28.6232481
906540032,77.3179193,28.6176471
906540038,77.317247,28.6257174
906540054,77.3083927,28.6222835
906540057,77.3086537,28.6222275
906540063,77.316195,28.6193104
906540069,77.3093115,28.6220811
906540071,77.3165343,28.6223675
906540094,77.3171044,28.6190013
906540095,77.3190289,28.6177791
906540096,77.3184698,28.6173734
906540098,77.3183389,28.6163768
906540119,77.3199487,28.6186291
906540145,77.3142988,28.6226064
906540157,77.3153195,28.6211704
906540177,77.3184226,28.6209774
906540182,77.3177543,28.6227174
906540183,77.3118058,28.6221408
906540184,77.3155668,28.6248675
906540185,77.3190485,28.6209825
906540202,77.3070965,28.6235107
906540204,77.3181493,28.617604
906540212,77.3078581,28.6226494
906540228,77.3154187,28.62102
906540232,77.3067385,28.6225362
906540236,77.3145696,28.6228304
906540238,77.3179861,28.6186151
906540257,77.3181927,28.6232198
906540258,77.3187097,28.6202059
906540262,77.3151139,28.6197571
906540264,77.3170818,28.6209527
906540278,77.3097677,28.6234407
906540290,77.3168278,28.6202711
906540292,77.3162417,28.6210567
906540304,77.3097034,28.6232429
906540306,77.3174097,28.6236531
906540308,77.3144597,28.6204708
906540309,77.3058433,28.6226676
906540323,77.3179351,28.6206579
906540325,77.3170612,28.6241073
906540348,77.3165051,28.6198775
906540356,77.3171727,28.6185229
906540360,77.3059807,28.6231243
906540363,77.3098722,28.6222475
906540377,77.3125161,28.6215206
906540379,77.3085401,28.6227656
906540390,77.3169351,28.6213317
906540400,77.3183834,28.6227212
906540405,77.3081211,28.621766
906540411,77.3165043,28.621074
906540443,77.3164676,28.6225398
906540446,77.3171714,28.6231596
906540464,77.3166964,28.6202327
906540467,77.3187338,28.6218052
906540471,77.3169977,28.6242799
906540475,77.3180518,28.6184453
906540491,77.3163987,28.6258746
